Window size: 1000, batch size: 10, learning rate: 1e-05, epochs: 1000
Input dimension: 270, hidden dimension: 400, layer dimension: 1, output dimension: 5

Model loss after 1 epochs = 1.5987892150878906, accuracy = 0.30000001192092896
Model loss after 73 epochs = 1.41965651512146, accuracy = 0.5750000476837158
Model loss after 74 epochs = 1.420067548751831, accuracy = 0.5833333730697632
Model loss after 75 epochs = 1.4175249338150024, accuracy = 0.5750000476837158
Model loss after 76 epochs = 1.4159834384918213, accuracy = 0.6000000238418579
Model loss after 77 epochs = 1.4150524139404297, accuracy = 0.5916666984558105
Model loss after 78 epochs = 1.4127216339111328, accuracy = 0.5916666984558105
Model loss after 79 epochs = 1.4125667810440063, accuracy = 0.5916666984558105
Model loss after 80 epochs = 1.409915804862976, accuracy = 0.6000000238418579
Model loss after 81 epochs = 1.408948302268982, accuracy = 0.6000000238418579
Model loss after 82 epochs = 1.4080792665481567, accuracy = 0.6000000238418579
Model loss after 83 epochs = 1.4067636728286743, accuracy = 0.5833333730697632
Model loss after 84 epochs = 1.4040024280548096, accuracy = 0.5916666984558105
Model loss after 85 epochs = 1.4042192697525024, accuracy = 0.6000000238418579
Model loss after 86 epochs = 1.4033865928649902, accuracy = 0.6000000238418579
Model loss after 87 epochs = 1.401410698890686, accuracy = 0.6083333492279053
Model loss after 88 epochs = 1.4017184972763062, accuracy = 0.6083333492279053
Model loss after 89 epochs = 1.4011693000793457, accuracy = 0.6166666746139526
Model loss after 90 epochs = 1.3971400260925293, accuracy = 0.6083333492279053
Model loss after 91 epochs = 1.3968288898468018, accuracy = 0.6083333492279053
Model loss after 92 epochs = 1.395194411277771, accuracy = 0.6083333492279053
Model loss after 93 epochs = 1.3943537473678589, accuracy = 0.6000000238418579
Model loss after 94 epochs = 1.3915036916732788, accuracy = 0.6250000596046448
Model loss after 95 epochs = 1.3921483755111694, accuracy = 0.6333333849906921
Model loss after 96 epochs = 1.392336130142212, accuracy = 0.6083333492279053
Model loss after 97 epochs = 1.392149567604065, accuracy = 0.6166666746139526
Model loss after 98 epochs = 1.3893448114395142, accuracy = 0.6250000596046448
Model loss after 99 epochs = 1.3849945068359375, accuracy = 0.6250000596046448
Model loss after 100 epochs = 1.3866533041000366, accuracy = 0.6166666746139526
Model loss after 101 epochs = 1.385316014289856, accuracy = 0.6000000238418579
Model loss after 102 epochs = 1.3864974975585938, accuracy = 0.6000000238418579
Model loss after 103 epochs = 1.3816559314727783, accuracy = 0.6083333492279053
Model loss after 104 epochs = 1.3799831867218018, accuracy = 0.6083333492279053
Model loss after 105 epochs = 1.3787509202957153, accuracy = 0.6000000238418579
Model loss after 106 epochs = 1.3784486055374146, accuracy = 0.6333333849906921
Model loss after 107 epochs = 1.3780627250671387, accuracy = 0.6166666746139526
Model loss after 108 epochs = 1.3745710849761963, accuracy = 0.6416667103767395
Model loss after 109 epochs = 1.3741905689239502, accuracy = 0.6333333849906921
Model loss after 110 epochs = 1.3725192546844482, accuracy = 0.6416667103767395
Model loss after 111 epochs = 1.3724337816238403, accuracy = 0.6500000357627869
Model loss after 112 epochs = 1.3709484338760376, accuracy = 0.6416667103767395
Model loss after 113 epochs = 1.3697797060012817, accuracy = 0.6416667103767395
Model loss after 114 epochs = 1.3665565252304077, accuracy = 0.6333333849906921
Model loss after 115 epochs = 1.364894986152649, accuracy = 0.6500000357627869
Model loss after 116 epochs = 1.3666071891784668, accuracy = 0.6416667103767395
Model loss after 117 epochs = 1.3640804290771484, accuracy = 0.6500000357627869
Model loss after 118 epochs = 1.3624241352081299, accuracy = 0.6416667103767395
Model loss after 119 epochs = 1.359901785850525, accuracy = 0.6583333611488342
Model loss after 120 epochs = 1.3590298891067505, accuracy = 0.6500000357627869
Model loss after 121 epochs = 1.3596421480178833, accuracy = 0.6333333849906921
Model loss after 122 epochs = 1.3592846393585205, accuracy = 0.6333333849906921
Model loss after 123 epochs = 1.3588221073150635, accuracy = 0.6416667103767395
Model loss after 124 epochs = 1.3564331531524658, accuracy = 0.6416667103767395
Model loss after 125 epochs = 1.3566817045211792, accuracy = 0.6500000357627869
Model loss after 126 epochs = 1.354024887084961, accuracy = 0.6583333611488342
Model loss after 127 epochs = 1.3550288677215576, accuracy = 0.6583333611488342
Model loss after 128 epochs = 1.3512076139450073, accuracy = 0.675000011920929
Model loss after 129 epochs = 1.3501712083816528, accuracy = 0.675000011920929
Model loss after 130 epochs = 1.351034164428711, accuracy = 0.6916667222976685
Model loss after 131 epochs = 1.3494561910629272, accuracy = 0.6583333611488342
Model loss after 132 epochs = 1.3439974784851074, accuracy = 0.6833333969116211
Model loss after 133 epochs = 1.3456213474273682, accuracy = 0.6666666865348816
Model loss after 134 epochs = 1.3459913730621338, accuracy = 0.6500000357627869
Model loss after 135 epochs = 1.3408724069595337, accuracy = 0.675000011920929
Model loss after 136 epochs = 1.3388748168945312, accuracy = 0.675000011920929
Model loss after 137 epochs = 1.3406713008880615, accuracy = 0.675000011920929
Model loss after 138 epochs = 1.3377126455307007, accuracy = 0.675000011920929
Model loss after 139 epochs = 1.3346116542816162, accuracy = 0.6833333969116211
Model loss after 140 epochs = 1.3325620889663696, accuracy = 0.6833333969116211
Model loss after 141 epochs = 1.3332481384277344, accuracy = 0.6833333969116211
Model loss after 142 epochs = 1.3311604261398315, accuracy = 0.6833333969116211
Model loss after 143 epochs = 1.3284475803375244, accuracy = 0.6833333969116211
Model loss after 144 epochs = 1.328287959098816, accuracy = 0.675000011920929
Model loss after 145 epochs = 1.3250384330749512, accuracy = 0.6833333969116211
Model loss after 146 epochs = 1.3263113498687744, accuracy = 0.6833333969116211
Model loss after 147 epochs = 1.3271973133087158, accuracy = 0.6833333969116211
Model loss after 148 epochs = 1.3259869813919067, accuracy = 0.675000011920929
Model loss after 149 epochs = 1.3244853019714355, accuracy = 0.7000000476837158
Model loss after 150 epochs = 1.321122407913208, accuracy = 0.6916667222976685
Model loss after 151 epochs = 1.322896957397461, accuracy = 0.6833333969116211
Model loss after 152 epochs = 1.3230060338974, accuracy = 0.6833333969116211
Model loss after 153 epochs = 1.3191478252410889, accuracy = 0.7083333730697632
Model loss after 154 epochs = 1.315342664718628, accuracy = 0.7000000476837158
Model loss after 155 epochs = 1.316070318222046, accuracy = 0.7000000476837158
Model loss after 156 epochs = 1.3143008947372437, accuracy = 0.7083333730697632
Model loss after 157 epochs = 1.312468409538269, accuracy = 0.7000000476837158
Model loss after 158 epochs = 1.3087908029556274, accuracy = 0.7083333730697632
Model loss after 159 epochs = 1.3095890283584595, accuracy = 0.7166666984558105
Model loss after 160 epochs = 1.3077976703643799, accuracy = 0.7333333492279053
Model loss after 161 epochs = 1.3071651458740234, accuracy = 0.7250000238418579
Model loss after 162 epochs = 1.306212067604065, accuracy = 0.7083333730697632
Model loss after 163 epochs = 1.305372953414917, accuracy = 0.7250000238418579
Model loss after 164 epochs = 1.305090308189392, accuracy = 0.7083333730697632
Model loss after 165 epochs = 1.3047269582748413, accuracy = 0.7083333730697632
Model loss after 166 epochs = 1.3014867305755615, accuracy = 0.7000000476837158
Model loss after 167 epochs = 1.3014914989471436, accuracy = 0.7166666984558105
Model loss after 168 epochs = 1.3032928705215454, accuracy = 0.7083333730697632
Model loss after 169 epochs = 1.3040841817855835, accuracy = 0.7166666984558105
Model loss after 170 epochs = 1.3019169569015503, accuracy = 0.6916667222976685
Model loss after 171 epochs = 1.3025835752487183, accuracy = 0.7083333730697632
Model loss after 172 epochs = 1.2999382019042969, accuracy = 0.7166666984558105
Model loss after 173 epochs = 1.297471284866333, accuracy = 0.7083333730697632
Model loss after 174 epochs = 1.2996242046356201, accuracy = 0.7083333730697632
Model loss after 175 epochs = 1.2965452671051025, accuracy = 0.7083333730697632
Model loss after 176 epochs = 1.2954720258712769, accuracy = 0.7333333492279053
Model loss after 177 epochs = 1.294758677482605, accuracy = 0.7250000238418579
Model loss after 178 epochs = 1.2935900688171387, accuracy = 0.7416667342185974
Model loss after 179 epochs = 1.2896335124969482, accuracy = 0.7250000238418579
Model loss after 180 epochs = 1.285669207572937, accuracy = 0.7250000238418579
Model loss after 181 epochs = 1.2876393795013428, accuracy = 0.7333333492279053
Model loss after 182 epochs = 1.2857249975204468, accuracy = 0.7333333492279053
Model loss after 183 epochs = 1.2851792573928833, accuracy = 0.7416667342185974
Model loss after 184 epochs = 1.2868764400482178, accuracy = 0.7333333492279053
Model loss after 185 epochs = 1.2852879762649536, accuracy = 0.7250000238418579
Model loss after 186 epochs = 1.284695029258728, accuracy = 0.7166666984558105
Model loss after 187 epochs = 1.2851258516311646, accuracy = 0.7166666984558105
Model loss after 188 epochs = 1.284066081047058, accuracy = 0.7250000238418579
Model loss after 189 epochs = 1.2812745571136475, accuracy = 0.7083333730697632
Model loss after 190 epochs = 1.2812293767929077, accuracy = 0.7000000476837158
Model loss after 191 epochs = 1.2811638116836548, accuracy = 0.7166666984558105
Model loss after 192 epochs = 1.2775752544403076, accuracy = 0.7250000238418579
Model loss after 193 epochs = 1.2780930995941162, accuracy = 0.7416667342185974
Model loss after 194 epochs = 1.2792667150497437, accuracy = 0.7333333492279053
Model loss after 195 epochs = 1.277510166168213, accuracy = 0.7333333492279053
Model loss after 196 epochs = 1.2739733457565308, accuracy = 0.7416667342185974
Model loss after 197 epochs = 1.2743662595748901, accuracy = 0.7166666984558105
Model loss after 198 epochs = 1.2721844911575317, accuracy = 0.7500000596046448
Model loss after 199 epochs = 1.2715128660202026, accuracy = 0.7500000596046448
Model loss after 200 epochs = 1.271690845489502, accuracy = 0.7333333492279053
Model loss after 201 epochs = 1.2691845893859863, accuracy = 0.7500000596046448
Model loss after 202 epochs = 1.2693055868148804, accuracy = 0.7583333849906921
Model loss after 203 epochs = 1.2677408456802368, accuracy = 0.7583333849906921
Model loss after 204 epochs = 1.269264578819275, accuracy = 0.7333333492279053
Model loss after 205 epochs = 1.2693696022033691, accuracy = 0.7583333849906921
Model loss after 206 epochs = 1.2694103717803955, accuracy = 0.7500000596046448
Model loss after 207 epochs = 1.2650516033172607, accuracy = 0.7500000596046448
Model loss after 208 epochs = 1.2621054649353027, accuracy = 0.7500000596046448
Model loss after 209 epochs = 1.2609483003616333, accuracy = 0.7666667103767395
Model loss after 210 epochs = 1.2610667943954468, accuracy = 0.7583333849906921
Model loss after 211 epochs = 1.2585723400115967, accuracy = 0.7583333849906921
Model loss after 212 epochs = 1.260568618774414, accuracy = 0.7333333492279053
Model loss after 213 epochs = 1.2587933540344238, accuracy = 0.7416667342185974
Model loss after 214 epochs = 1.2554715871810913, accuracy = 0.7583333849906921
Model loss after 215 epochs = 1.2565892934799194, accuracy = 0.7416667342185974
Model loss after 216 epochs = 1.2568830251693726, accuracy = 0.7416667342185974
Model loss after 217 epochs = 1.2573508024215698, accuracy = 0.7250000238418579
Model loss after 218 epochs = 1.254953384399414, accuracy = 0.7333333492279053
Model loss after 219 epochs = 1.2556214332580566, accuracy = 0.7416667342185974
Model loss after 220 epochs = 1.252164602279663, accuracy = 0.7833333611488342
Model loss after 221 epochs = 1.2542644739151, accuracy = 0.7666667103767395
Model loss after 222 epochs = 1.2521525621414185, accuracy = 0.7583333849906921
Model loss after 223 epochs = 1.2496358156204224, accuracy = 0.7500000596046448
Model loss after 224 epochs = 1.2471668720245361, accuracy = 0.7750000357627869
Model loss after 225 epochs = 1.2472532987594604, accuracy = 0.7916666865348816
Model loss after 226 epochs = 1.2436970472335815, accuracy = 0.7750000357627869
Model loss after 227 epochs = 1.2496047019958496, accuracy = 0.7583333849906921
Model loss after 228 epochs = 1.248455286026001, accuracy = 0.7750000357627869
Model loss after 229 epochs = 1.249280571937561, accuracy = 0.7500000596046448
Model loss after 230 epochs = 1.2457149028778076, accuracy = 0.7583333849906921
Model loss after 231 epochs = 1.2450097799301147, accuracy = 0.7583333849906921
Model loss after 232 epochs = 1.24517822265625, accuracy = 0.7750000357627869
Model loss after 233 epochs = 1.2416632175445557, accuracy = 0.7666667103767395
Model loss after 234 epochs = 1.2410327196121216, accuracy = 0.7666667103767395
Model loss after 235 epochs = 1.243528962135315, accuracy = 0.8000000715255737
Model loss after 236 epochs = 1.243234395980835, accuracy = 0.7666667103767395
Model loss after 237 epochs = 1.2387539148330688, accuracy = 0.7666667103767395
Model loss after 238 epochs = 1.2395939826965332, accuracy = 0.7833333611488342
Model loss after 239 epochs = 1.2369840145111084, accuracy = 0.7916666865348816
Model loss after 240 epochs = 1.2370264530181885, accuracy = 0.7750000357627869
Model loss after 241 epochs = 1.239230751991272, accuracy = 0.7500000596046448
Model loss after 242 epochs = 1.2356902360916138, accuracy = 0.7833333611488342
Model loss after 243 epochs = 1.237527847290039, accuracy = 0.7833333611488342
Model loss after 244 epochs = 1.2352958917617798, accuracy = 0.7833333611488342
Model loss after 245 epochs = 1.2368282079696655, accuracy = 0.7916666865348816
Model loss after 246 epochs = 1.2337594032287598, accuracy = 0.7833333611488342
Model loss after 247 epochs = 1.2308303117752075, accuracy = 0.7916666865348816
Model loss after 248 epochs = 1.2322144508361816, accuracy = 0.7750000357627869
Model loss after 249 epochs = 1.2316269874572754, accuracy = 0.7833333611488342
Model loss after 250 epochs = 1.2308002710342407, accuracy = 0.7583333849906921
Model loss after 251 epochs = 1.2351415157318115, accuracy = 0.7750000357627869
Model loss after 252 epochs = 1.23335599899292, accuracy = 0.7916666865348816
Model loss after 253 epochs = 1.2303823232650757, accuracy = 0.7916666865348816
Model loss after 254 epochs = 1.227997899055481, accuracy = 0.7916666865348816
Model loss after 255 epochs = 1.2261968851089478, accuracy = 0.7916666865348816
Model loss after 256 epochs = 1.2260900735855103, accuracy = 0.7916666865348816
Model loss after 257 epochs = 1.2277024984359741, accuracy = 0.7916666865348816
Model loss after 258 epochs = 1.2249889373779297, accuracy = 0.8083333969116211
Model loss after 259 epochs = 1.224613904953003, accuracy = 0.8083333969116211
Model loss after 260 epochs = 1.2205538749694824, accuracy = 0.8083333969116211
Model loss after 261 epochs = 1.219835638999939, accuracy = 0.8083333969116211
Model loss after 262 epochs = 1.2167270183563232, accuracy = 0.8250000476837158
Model loss after 263 epochs = 1.2195541858673096, accuracy = 0.8000000715255737
Model loss after 264 epochs = 1.2181037664413452, accuracy = 0.8000000715255737
Model loss after 265 epochs = 1.2173595428466797, accuracy = 0.8083333969116211
Model loss after 266 epochs = 1.2151176929473877, accuracy = 0.8083333969116211
Model loss after 267 epochs = 1.216203212738037, accuracy = 0.8083333969116211
Model loss after 268 epochs = 1.216773271560669, accuracy = 0.8000000715255737
Model loss after 269 epochs = 1.2135285139083862, accuracy = 0.8083333969116211
Model loss after 270 epochs = 1.2157796621322632, accuracy = 0.7916666865348816
Model loss after 271 epochs = 1.212166666984558, accuracy = 0.8000000715255737
Model loss after 272 epochs = 1.2157554626464844, accuracy = 0.8000000715255737
Model loss after 273 epochs = 1.2132128477096558, accuracy = 0.7916666865348816
Model loss after 274 epochs = 1.2137386798858643, accuracy = 0.8000000715255737
Model loss after 275 epochs = 1.2120506763458252, accuracy = 0.8083333969116211
Model loss after 276 epochs = 1.208814263343811, accuracy = 0.8083333969116211
Model loss after 277 epochs = 1.2109087705612183, accuracy = 0.8000000715255737
Model loss after 278 epochs = 1.2108027935028076, accuracy = 0.8000000715255737
Model loss after 279 epochs = 1.2106398344039917, accuracy = 0.8000000715255737
Model loss after 280 epochs = 1.209003210067749, accuracy = 0.8000000715255737
Model loss after 281 epochs = 1.2108248472213745, accuracy = 0.7916666865348816
Model loss after 282 epochs = 1.2112147808074951, accuracy = 0.8000000715255737
Model loss after 283 epochs = 1.2122217416763306, accuracy = 0.8083333969116211
Model loss after 284 epochs = 1.2051838636398315, accuracy = 0.8000000715255737
Model loss after 285 epochs = 1.2038004398345947, accuracy = 0.8000000715255737
Model loss after 286 epochs = 1.2049167156219482, accuracy = 0.8000000715255737
Model loss after 287 epochs = 1.206488847732544, accuracy = 0.8000000715255737
Model loss after 288 epochs = 1.2032585144042969, accuracy = 0.8083333969116211
Model loss after 289 epochs = 1.2066690921783447, accuracy = 0.7916666865348816
Model loss after 290 epochs = 1.207218885421753, accuracy = 0.7833333611488342
Model loss after 291 epochs = 1.2081737518310547, accuracy = 0.7750000357627869
Model loss after 292 epochs = 1.2094874382019043, accuracy = 0.7833333611488342
Model loss after 293 epochs = 1.206580400466919, accuracy = 0.7833333611488342
Model loss after 294 epochs = 1.204498052597046, accuracy = 0.7833333611488342
Model loss after 295 epochs = 1.2018425464630127, accuracy = 0.8166667222976685
Model loss after 296 epochs = 1.2030733823776245, accuracy = 0.8000000715255737
Model loss after 297 epochs = 1.199972152709961, accuracy = 0.8000000715255737
Model loss after 298 epochs = 1.2007442712783813, accuracy = 0.7916666865348816
Model loss after 299 epochs = 1.2022860050201416, accuracy = 0.8000000715255737
Model loss after 300 epochs = 1.1975096464157104, accuracy = 0.8000000715255737
Model loss after 301 epochs = 1.199020266532898, accuracy = 0.8000000715255737
Model loss after 302 epochs = 1.2012977600097656, accuracy = 0.8000000715255737
Model loss after 303 epochs = 1.1979715824127197, accuracy = 0.7916666865348816
Model loss after 304 epochs = 1.1987475156784058, accuracy = 0.7833333611488342
Model loss after 305 epochs = 1.1954076290130615, accuracy = 0.7916666865348816
Model loss after 306 epochs = 1.197795033454895, accuracy = 0.7916666865348816
Model loss after 307 epochs = 1.196196436882019, accuracy = 0.7916666865348816
Model loss after 308 epochs = 1.194362759590149, accuracy = 0.7916666865348816
Model loss after 309 epochs = 1.1928279399871826, accuracy = 0.7916666865348816
Model loss after 310 epochs = 1.1935827732086182, accuracy = 0.7916666865348816
Model loss after 311 epochs = 1.1907989978790283, accuracy = 0.7916666865348816
Model loss after 312 epochs = 1.1911145448684692, accuracy = 0.7916666865348816
Model loss after 313 epochs = 1.1893596649169922, accuracy = 0.7916666865348816
Model loss after 314 epochs = 1.188116431236267, accuracy = 0.7833333611488342
Model loss after 315 epochs = 1.1890617609024048, accuracy = 0.7916666865348816
Model loss after 316 epochs = 1.1883217096328735, accuracy = 0.8000000715255737
Model loss after 317 epochs = 1.187805414199829, accuracy = 0.7916666865348816
Model loss after 318 epochs = 1.1820019483566284, accuracy = 0.8083333969116211
Model loss after 319 epochs = 1.183976650238037, accuracy = 0.7916666865348816
Model loss after 320 epochs = 1.18968665599823, accuracy = 0.7916666865348816
Model loss after 321 epochs = 1.1848098039627075, accuracy = 0.8083333969116211
Model loss after 322 epochs = 1.1848524808883667, accuracy = 0.8000000715255737
Model loss after 323 epochs = 1.1835997104644775, accuracy = 0.8000000715255737
Model loss after 324 epochs = 1.1853995323181152, accuracy = 0.8000000715255737
Model loss after 325 epochs = 1.1787809133529663, accuracy = 0.8166667222976685
Model loss after 326 epochs = 1.1807434558868408, accuracy = 0.8000000715255737
Model loss after 327 epochs = 1.1761672496795654, accuracy = 0.8250000476837158
Model loss after 328 epochs = 1.1758041381835938, accuracy = 0.8166667222976685
Model loss after 329 epochs = 1.1811823844909668, accuracy = 0.7833333611488342
Model loss after 330 epochs = 1.1783771514892578, accuracy = 0.8166667222976685
Model loss after 331 epochs = 1.1771188974380493, accuracy = 0.8083333969116211
Model loss after 332 epochs = 1.1757198572158813, accuracy = 0.8083333969116211
Model loss after 333 epochs = 1.1784722805023193, accuracy = 0.8083333969116211
Model loss after 334 epochs = 1.1802457571029663, accuracy = 0.7916666865348816
Model loss after 335 epochs = 1.177150011062622, accuracy = 0.8000000715255737
Model loss after 336 epochs = 1.1737295389175415, accuracy = 0.8083333969116211
Model loss after 337 epochs = 1.1764521598815918, accuracy = 0.8083333969116211
Model loss after 338 epochs = 1.1751461029052734, accuracy = 0.8083333969116211
Model loss after 339 epochs = 1.1728984117507935, accuracy = 0.8166667222976685
Model loss after 340 epochs = 1.1714292764663696, accuracy = 0.8000000715255737
Model loss after 341 epochs = 1.1701732873916626, accuracy = 0.8000000715255737
Model loss after 342 epochs = 1.173022985458374, accuracy = 0.8083333969116211
Model loss after 343 epochs = 1.1721042394638062, accuracy = 0.8083333969116211
Model loss after 344 epochs = 1.1718636751174927, accuracy = 0.7916666865348816
Model loss after 345 epochs = 1.1688538789749146, accuracy = 0.8250000476837158
Model loss after 346 epochs = 1.1678837537765503, accuracy = 0.8166667222976685
Model loss after 347 epochs = 1.1693038940429688, accuracy = 0.8166667222976685
Model loss after 348 epochs = 1.1684300899505615, accuracy = 0.7916666865348816
Model loss after 349 epochs = 1.1674387454986572, accuracy = 0.8083333969116211
Model loss after 350 epochs = 1.1673568487167358, accuracy = 0.8250000476837158
Model loss after 351 epochs = 1.164878487586975, accuracy = 0.8250000476837158
Model loss after 352 epochs = 1.1672413349151611, accuracy = 0.8166667222976685
Model loss after 353 epochs = 1.1657984256744385, accuracy = 0.8250000476837158
Model loss after 354 epochs = 1.1653131246566772, accuracy = 0.8166667222976685
Model loss after 355 epochs = 1.1640074253082275, accuracy = 0.8166667222976685
Model loss after 356 epochs = 1.1638482809066772, accuracy = 0.8250000476837158
Model loss after 357 epochs = 1.1661471128463745, accuracy = 0.8166667222976685
Model loss after 358 epochs = 1.162927508354187, accuracy = 0.8166667222976685
Model loss after 359 epochs = 1.1660012006759644, accuracy = 0.8250000476837158
Model loss after 360 epochs = 1.163149118423462, accuracy = 0.8333333730697632
Model loss after 361 epochs = 1.163826584815979, accuracy = 0.8166667222976685
Model loss after 362 epochs = 1.1621463298797607, accuracy = 0.8416666984558105
Model loss after 363 epochs = 1.1615647077560425, accuracy = 0.8333333730697632
Model loss after 364 epochs = 1.1594350337982178, accuracy = 0.8416666984558105
Model loss after 365 epochs = 1.1595970392227173, accuracy = 0.8250000476837158
Model loss after 366 epochs = 1.1621901988983154, accuracy = 0.8250000476837158
Model loss after 367 epochs = 1.1588045358657837, accuracy = 0.8166667222976685
Model loss after 368 epochs = 1.157462239265442, accuracy = 0.8250000476837158
Model loss after 369 epochs = 1.1575438976287842, accuracy = 0.8416666984558105
Model loss after 370 epochs = 1.157169222831726, accuracy = 0.8333333730697632
Model loss after 371 epochs = 1.158786416053772, accuracy = 0.8250000476837158
Model loss after 372 epochs = 1.156450867652893, accuracy = 0.8333333730697632
Model loss after 373 epochs = 1.1584436893463135, accuracy = 0.8333333730697632
Model loss after 374 epochs = 1.159069538116455, accuracy = 0.8166667222976685
Model loss after 375 epochs = 1.154468059539795, accuracy = 0.8333333730697632
Model loss after 376 epochs = 1.1546522378921509, accuracy = 0.8166667222976685
