Window size: 1000, batch size: 10, learning rate: 2e-05, epochs: 600
Input dimension: 270, hidden dimension: 300, layer dimension: 1, output dimension: 5

Model loss after 1 epochs = 1.605109453201294, accuracy = 0.22500000894069672
Model loss after 83 epochs = 1.4436699151992798, accuracy = 0.5333333611488342
Model loss after 84 epochs = 1.439921259880066, accuracy = 0.5333333611488342
Model loss after 85 epochs = 1.4434620141983032, accuracy = 0.5416666865348816
Model loss after 86 epochs = 1.4438915252685547, accuracy = 0.5416666865348816
Model loss after 87 epochs = 1.4339784383773804, accuracy = 0.550000011920929
Model loss after 88 epochs = 1.438874363899231, accuracy = 0.5583333373069763
Model loss after 89 epochs = 1.4407556056976318, accuracy = 0.5250000357627869
Model loss after 90 epochs = 1.4381643533706665, accuracy = 0.5250000357627869
Model loss after 91 epochs = 1.428757905960083, accuracy = 0.5333333611488342
Model loss after 92 epochs = 1.4289849996566772, accuracy = 0.5666667222976685
Model loss after 93 epochs = 1.4260541200637817, accuracy = 0.5250000357627869
Model loss after 94 epochs = 1.4280637502670288, accuracy = 0.550000011920929
Model loss after 95 epochs = 1.4278109073638916, accuracy = 0.5416666865348816
Model loss after 96 epochs = 1.4275156259536743, accuracy = 0.5416666865348816
Model loss after 97 epochs = 1.4300544261932373, accuracy = 0.5416666865348816
Model loss after 98 epochs = 1.4235726594924927, accuracy = 0.5916666984558105
Model loss after 99 epochs = 1.4248976707458496, accuracy = 0.5583333373069763
Model loss after 100 epochs = 1.421873927116394, accuracy = 0.5666667222976685
Model loss after 101 epochs = 1.419616937637329, accuracy = 0.5666667222976685
Model loss after 102 epochs = 1.4174656867980957, accuracy = 0.5833333730697632
Model loss after 103 epochs = 1.4153605699539185, accuracy = 0.5833333730697632
Model loss after 104 epochs = 1.4115854501724243, accuracy = 0.5833333730697632
Model loss after 105 epochs = 1.4159241914749146, accuracy = 0.550000011920929
Model loss after 106 epochs = 1.413133144378662, accuracy = 0.5666667222976685
Model loss after 107 epochs = 1.4129784107208252, accuracy = 0.5833333730697632
Model loss after 108 epochs = 1.4074339866638184, accuracy = 0.6000000238418579
Model loss after 109 epochs = 1.4048806428909302, accuracy = 0.6166666746139526
Model loss after 110 epochs = 1.4093843698501587, accuracy = 0.5750000476837158
Model loss after 111 epochs = 1.4050310850143433, accuracy = 0.5833333730697632
Model loss after 112 epochs = 1.3999780416488647, accuracy = 0.5833333730697632
Model loss after 113 epochs = 1.3971993923187256, accuracy = 0.5666667222976685
Model loss after 114 epochs = 1.4006693363189697, accuracy = 0.5666667222976685
Model loss after 115 epochs = 1.3988244533538818, accuracy = 0.6083333492279053
Model loss after 116 epochs = 1.394160509109497, accuracy = 0.5916666984558105
Model loss after 117 epochs = 1.3999353647232056, accuracy = 0.5833333730697632
Model loss after 118 epochs = 1.4031513929367065, accuracy = 0.5916666984558105
Model loss after 119 epochs = 1.3912391662597656, accuracy = 0.5833333730697632
Model loss after 120 epochs = 1.390260934829712, accuracy = 0.6000000238418579
Model loss after 121 epochs = 1.3887722492218018, accuracy = 0.6000000238418579
Model loss after 122 epochs = 1.3852275609970093, accuracy = 0.6000000238418579
Model loss after 123 epochs = 1.3864394426345825, accuracy = 0.6166666746139526
Model loss after 124 epochs = 1.3826136589050293, accuracy = 0.6166666746139526
Model loss after 125 epochs = 1.3809705972671509, accuracy = 0.6083333492279053
Model loss after 126 epochs = 1.3806567192077637, accuracy = 0.5916666984558105
Model loss after 127 epochs = 1.3792914152145386, accuracy = 0.6000000238418579
Model loss after 128 epochs = 1.3831979036331177, accuracy = 0.6083333492279053
Model loss after 129 epochs = 1.3746750354766846, accuracy = 0.6333333849906921
Model loss after 130 epochs = 1.3740899562835693, accuracy = 0.6166666746139526
Model loss after 131 epochs = 1.3736423254013062, accuracy = 0.6333333849906921
Model loss after 132 epochs = 1.3734323978424072, accuracy = 0.6250000596046448
Model loss after 133 epochs = 1.3708176612854004, accuracy = 0.5916666984558105
Model loss after 134 epochs = 1.3700233697891235, accuracy = 0.6083333492279053
Model loss after 135 epochs = 1.3667924404144287, accuracy = 0.6166666746139526
Model loss after 136 epochs = 1.3665860891342163, accuracy = 0.6166666746139526
Model loss after 137 epochs = 1.3622578382492065, accuracy = 0.6250000596046448
Model loss after 138 epochs = 1.3595384359359741, accuracy = 0.6416667103767395
Model loss after 139 epochs = 1.360103964805603, accuracy = 0.6250000596046448
Model loss after 140 epochs = 1.3635085821151733, accuracy = 0.6250000596046448
Model loss after 141 epochs = 1.3699935674667358, accuracy = 0.6166666746139526
Model loss after 142 epochs = 1.3655115365982056, accuracy = 0.6333333849906921
Model loss after 143 epochs = 1.3567978143692017, accuracy = 0.6333333849906921
Model loss after 144 epochs = 1.3567492961883545, accuracy = 0.6500000357627869
Model loss after 145 epochs = 1.3537486791610718, accuracy = 0.6333333849906921
Model loss after 146 epochs = 1.3503929376602173, accuracy = 0.6500000357627869
Model loss after 147 epochs = 1.3450407981872559, accuracy = 0.6500000357627869
Model loss after 148 epochs = 1.34595787525177, accuracy = 0.6333333849906921
Model loss after 149 epochs = 1.349410891532898, accuracy = 0.6416667103767395
Model loss after 150 epochs = 1.3440262079238892, accuracy = 0.6416667103767395
Model loss after 151 epochs = 1.3439668416976929, accuracy = 0.6500000357627869
Model loss after 152 epochs = 1.3373345136642456, accuracy = 0.675000011920929
Model loss after 153 epochs = 1.338855504989624, accuracy = 0.6416667103767395
Model loss after 154 epochs = 1.3347002267837524, accuracy = 0.6500000357627869
Model loss after 155 epochs = 1.333126425743103, accuracy = 0.6500000357627869
Model loss after 156 epochs = 1.332751750946045, accuracy = 0.6666666865348816
Model loss after 157 epochs = 1.3306435346603394, accuracy = 0.6583333611488342
Model loss after 158 epochs = 1.331710696220398, accuracy = 0.6583333611488342
Model loss after 159 epochs = 1.33762788772583, accuracy = 0.6666666865348816
Model loss after 160 epochs = 1.340462327003479, accuracy = 0.6416667103767395
Model loss after 161 epochs = 1.3315010070800781, accuracy = 0.6500000357627869
Model loss after 162 epochs = 1.3248953819274902, accuracy = 0.6666666865348816
Model loss after 163 epochs = 1.3355891704559326, accuracy = 0.6583333611488342
Model loss after 164 epochs = 1.3320339918136597, accuracy = 0.6583333611488342
Model loss after 165 epochs = 1.3295849561691284, accuracy = 0.675000011920929
Model loss after 166 epochs = 1.3223507404327393, accuracy = 0.675000011920929
Model loss after 167 epochs = 1.3173671960830688, accuracy = 0.6833333969116211
Model loss after 168 epochs = 1.3189488649368286, accuracy = 0.6666666865348816
Model loss after 169 epochs = 1.3130226135253906, accuracy = 0.6833333969116211
Model loss after 170 epochs = 1.3164657354354858, accuracy = 0.6666666865348816
Model loss after 171 epochs = 1.3260502815246582, accuracy = 0.6500000357627869
Model loss after 172 epochs = 1.3279918432235718, accuracy = 0.6666666865348816
Model loss after 173 epochs = 1.3272355794906616, accuracy = 0.675000011920929
Model loss after 174 epochs = 1.3223966360092163, accuracy = 0.6833333969116211
Model loss after 175 epochs = 1.3212313652038574, accuracy = 0.6833333969116211
Model loss after 176 epochs = 1.315813660621643, accuracy = 0.6916667222976685
Model loss after 177 epochs = 1.3142870664596558, accuracy = 0.7000000476837158
Model loss after 178 epochs = 1.3188059329986572, accuracy = 0.6916667222976685
Model loss after 179 epochs = 1.3082298040390015, accuracy = 0.7000000476837158
Model loss after 180 epochs = 1.3115673065185547, accuracy = 0.7000000476837158
Model loss after 181 epochs = 1.3079173564910889, accuracy = 0.7500000596046448
Model loss after 182 epochs = 1.3072254657745361, accuracy = 0.7250000238418579
Model loss after 183 epochs = 1.3072104454040527, accuracy = 0.7083333730697632
Model loss after 184 epochs = 1.3054922819137573, accuracy = 0.7083333730697632
Model loss after 185 epochs = 1.3046109676361084, accuracy = 0.6916667222976685
Model loss after 186 epochs = 1.300740122795105, accuracy = 0.7166666984558105
Model loss after 187 epochs = 1.2987173795700073, accuracy = 0.7333333492279053
Model loss after 188 epochs = 1.3047537803649902, accuracy = 0.6916667222976685
Model loss after 189 epochs = 1.303667426109314, accuracy = 0.7000000476837158
Model loss after 190 epochs = 1.2968002557754517, accuracy = 0.7250000238418579
Model loss after 191 epochs = 1.2911912202835083, accuracy = 0.7333333492279053
Model loss after 192 epochs = 1.2886831760406494, accuracy = 0.7250000238418579
Model loss after 193 epochs = 1.283531904220581, accuracy = 0.7250000238418579
Model loss after 194 epochs = 1.2816189527511597, accuracy = 0.7500000596046448
Model loss after 195 epochs = 1.2822203636169434, accuracy = 0.7416667342185974
Model loss after 196 epochs = 1.2825461626052856, accuracy = 0.7333333492279053
Model loss after 197 epochs = 1.2813782691955566, accuracy = 0.7250000238418579
Model loss after 198 epochs = 1.2780565023422241, accuracy = 0.7500000596046448
Model loss after 199 epochs = 1.2791491746902466, accuracy = 0.7250000238418579
Model loss after 200 epochs = 1.2778123617172241, accuracy = 0.7500000596046448
Model loss after 201 epochs = 1.2740415334701538, accuracy = 0.7250000238418579
Model loss after 202 epochs = 1.2757947444915771, accuracy = 0.7666667103767395
Model loss after 203 epochs = 1.2753196954727173, accuracy = 0.7250000238418579
Model loss after 204 epochs = 1.2684264183044434, accuracy = 0.7500000596046448
Model loss after 205 epochs = 1.2672418355941772, accuracy = 0.7416667342185974
Model loss after 206 epochs = 1.2721607685089111, accuracy = 0.7333333492279053
Model loss after 207 epochs = 1.2778652906417847, accuracy = 0.7333333492279053
Model loss after 208 epochs = 1.270485281944275, accuracy = 0.7750000357627869
Model loss after 209 epochs = 1.2624924182891846, accuracy = 0.7500000596046448
Model loss after 210 epochs = 1.2584999799728394, accuracy = 0.7833333611488342
Model loss after 211 epochs = 1.2641339302062988, accuracy = 0.7750000357627869
Model loss after 212 epochs = 1.2601577043533325, accuracy = 0.7750000357627869
Model loss after 213 epochs = 1.2684212923049927, accuracy = 0.7500000596046448
Model loss after 214 epochs = 1.266029953956604, accuracy = 0.7583333849906921
Model loss after 215 epochs = 1.261532187461853, accuracy = 0.7916666865348816
Model loss after 216 epochs = 1.2560712099075317, accuracy = 0.7833333611488342
Model loss after 217 epochs = 1.2539149522781372, accuracy = 0.7666667103767395
Model loss after 218 epochs = 1.257311463356018, accuracy = 0.7833333611488342
Model loss after 219 epochs = 1.2520689964294434, accuracy = 0.8166667222976685
Model loss after 220 epochs = 1.24918794631958, accuracy = 0.8083333969116211
Model loss after 221 epochs = 1.2452621459960938, accuracy = 0.8250000476837158
Model loss after 222 epochs = 1.2507344484329224, accuracy = 0.8083333969116211
Model loss after 223 epochs = 1.2503392696380615, accuracy = 0.8000000715255737
Model loss after 224 epochs = 1.2480204105377197, accuracy = 0.8083333969116211
Model loss after 225 epochs = 1.245714545249939, accuracy = 0.7916666865348816
Model loss after 226 epochs = 1.2457258701324463, accuracy = 0.8333333730697632
Model loss after 227 epochs = 1.2464344501495361, accuracy = 0.7833333611488342
Model loss after 228 epochs = 1.2435510158538818, accuracy = 0.8083333969116211
Model loss after 229 epochs = 1.243186354637146, accuracy = 0.8083333969116211
Model loss after 230 epochs = 1.2390574216842651, accuracy = 0.8166667222976685
Model loss after 231 epochs = 1.2358137369155884, accuracy = 0.8166667222976685
Model loss after 232 epochs = 1.2337849140167236, accuracy = 0.8166667222976685
Model loss after 233 epochs = 1.2403981685638428, accuracy = 0.8083333969116211
Model loss after 234 epochs = 1.233237624168396, accuracy = 0.8333333730697632
Model loss after 235 epochs = 1.2311797142028809, accuracy = 0.8166667222976685
Model loss after 236 epochs = 1.227555513381958, accuracy = 0.8083333969116211
Model loss after 237 epochs = 1.2298965454101562, accuracy = 0.8166667222976685
Model loss after 238 epochs = 1.2319811582565308, accuracy = 0.8083333969116211
Model loss after 239 epochs = 1.2280375957489014, accuracy = 0.8250000476837158
Model loss after 240 epochs = 1.2251036167144775, accuracy = 0.8083333969116211
Model loss after 241 epochs = 1.2243393659591675, accuracy = 0.8166667222976685
Model loss after 242 epochs = 1.225223183631897, accuracy = 0.8166667222976685
Model loss after 243 epochs = 1.2266186475753784, accuracy = 0.8083333969116211
Model loss after 244 epochs = 1.2266147136688232, accuracy = 0.8250000476837158
Model loss after 245 epochs = 1.2216451168060303, accuracy = 0.8166667222976685
Model loss after 246 epochs = 1.224854826927185, accuracy = 0.8250000476837158
Model loss after 247 epochs = 1.219908356666565, accuracy = 0.8166667222976685
Model loss after 248 epochs = 1.213458776473999, accuracy = 0.8333333730697632
Model loss after 249 epochs = 1.2154520750045776, accuracy = 0.8500000238418579
Model loss after 250 epochs = 1.216442346572876, accuracy = 0.8166667222976685
Model loss after 251 epochs = 1.2184349298477173, accuracy = 0.8166667222976685
Model loss after 252 epochs = 1.2103149890899658, accuracy = 0.8416666984558105
Model loss after 253 epochs = 1.2100473642349243, accuracy = 0.8333333730697632
Model loss after 254 epochs = 1.2144691944122314, accuracy = 0.8000000715255737
Model loss after 255 epochs = 1.216189980506897, accuracy = 0.8250000476837158
Model loss after 256 epochs = 1.214135766029358, accuracy = 0.8166667222976685
Model loss after 257 epochs = 1.2120846509933472, accuracy = 0.8000000715255737
Model loss after 258 epochs = 1.2117091417312622, accuracy = 0.8250000476837158
Model loss after 259 epochs = 1.211370825767517, accuracy = 0.8250000476837158
Model loss after 260 epochs = 1.2053983211517334, accuracy = 0.8500000238418579
Model loss after 261 epochs = 1.2078144550323486, accuracy = 0.8250000476837158
Model loss after 262 epochs = 1.2038997411727905, accuracy = 0.8166667222976685
Model loss after 263 epochs = 1.2024915218353271, accuracy = 0.8333333730697632
Model loss after 264 epochs = 1.1993753910064697, accuracy = 0.8333333730697632
Model loss after 265 epochs = 1.2045502662658691, accuracy = 0.8083333969116211
Model loss after 266 epochs = 1.1989368200302124, accuracy = 0.8583333492279053
Model loss after 267 epochs = 1.2000234127044678, accuracy = 0.8250000476837158
Model loss after 268 epochs = 1.20093834400177, accuracy = 0.8333333730697632
Model loss after 269 epochs = 1.2027366161346436, accuracy = 0.8250000476837158
Model loss after 270 epochs = 1.1982617378234863, accuracy = 0.8333333730697632
Model loss after 271 epochs = 1.1961159706115723, accuracy = 0.8666667342185974
Model loss after 272 epochs = 1.1950912475585938, accuracy = 0.8416666984558105
Model loss after 273 epochs = 1.191017985343933, accuracy = 0.8500000238418579
Model loss after 274 epochs = 1.1852145195007324, accuracy = 0.8416666984558105
Model loss after 275 epochs = 1.1866257190704346, accuracy = 0.8583333492279053
Model loss after 276 epochs = 1.1866852045059204, accuracy = 0.8500000238418579
Model loss after 277 epochs = 1.184188723564148, accuracy = 0.8500000238418579
Model loss after 278 epochs = 1.1848400831222534, accuracy = 0.8666667342185974
Model loss after 279 epochs = 1.1832839250564575, accuracy = 0.8583333492279053
Model loss after 280 epochs = 1.1804853677749634, accuracy = 0.8666667342185974
Model loss after 281 epochs = 1.193529725074768, accuracy = 0.8583333492279053
Model loss after 282 epochs = 1.1950592994689941, accuracy = 0.8583333492279053
Model loss after 283 epochs = 1.1849149465560913, accuracy = 0.8583333492279053
Model loss after 284 epochs = 1.1864631175994873, accuracy = 0.8583333492279053
Model loss after 285 epochs = 1.1844922304153442, accuracy = 0.8583333492279053
Model loss after 286 epochs = 1.176989197731018, accuracy = 0.8666667342185974
Model loss after 287 epochs = 1.1682153940200806, accuracy = 0.8416666984558105
Model loss after 288 epochs = 1.1732951402664185, accuracy = 0.8583333492279053
Model loss after 289 epochs = 1.1720683574676514, accuracy = 0.8333333730697632
Model loss after 290 epochs = 1.1696664094924927, accuracy = 0.8750000596046448
Model loss after 291 epochs = 1.1708464622497559, accuracy = 0.8416666984558105
Model loss after 292 epochs = 1.1760092973709106, accuracy = 0.8416666984558105
Model loss after 293 epochs = 1.174774169921875, accuracy = 0.8583333492279053
Model loss after 294 epochs = 1.1798977851867676, accuracy = 0.8500000238418579
Model loss after 295 epochs = 1.1812164783477783, accuracy = 0.8500000238418579
Model loss after 296 epochs = 1.167492151260376, accuracy = 0.8583333492279053
Model loss after 297 epochs = 1.1717814207077026, accuracy = 0.8583333492279053
Model loss after 298 epochs = 1.1729772090911865, accuracy = 0.8583333492279053
Model loss after 299 epochs = 1.172086477279663, accuracy = 0.8500000238418579
Model loss after 300 epochs = 1.1646918058395386, accuracy = 0.8750000596046448
Model loss after 301 epochs = 1.1628918647766113, accuracy = 0.8416666984558105
Model loss after 302 epochs = 1.165145993232727, accuracy = 0.8416666984558105
Model loss after 303 epochs = 1.1619751453399658, accuracy = 0.8583333492279053
Model loss after 304 epochs = 1.1630895137786865, accuracy = 0.8666667342185974
Model loss after 305 epochs = 1.1580663919448853, accuracy = 0.8583333492279053
Model loss after 306 epochs = 1.1551202535629272, accuracy = 0.8750000596046448
Model loss after 307 epochs = 1.1564027070999146, accuracy = 0.8750000596046448
Model loss after 308 epochs = 1.1535696983337402, accuracy = 0.8666667342185974
Model loss after 309 epochs = 1.1510815620422363, accuracy = 0.8833333849906921
Model loss after 310 epochs = 1.154756784439087, accuracy = 0.8583333492279053
Model loss after 311 epochs = 1.153071641921997, accuracy = 0.8666667342185974
Model loss after 312 epochs = 1.1531047821044922, accuracy = 0.8666667342185974
Model loss after 313 epochs = 1.1511352062225342, accuracy = 0.8666667342185974
Model loss after 314 epochs = 1.1483083963394165, accuracy = 0.8666667342185974
Model loss after 315 epochs = 1.148922324180603, accuracy = 0.8666667342185974
Model loss after 316 epochs = 1.14808189868927, accuracy = 0.8666667342185974
Model loss after 317 epochs = 1.148796796798706, accuracy = 0.8583333492279053
Model loss after 318 epochs = 1.144484043121338, accuracy = 0.8416666984558105
Model loss after 319 epochs = 1.146255612373352, accuracy = 0.8666667342185974
Model loss after 320 epochs = 1.1389142274856567, accuracy = 0.8500000238418579
Model loss after 321 epochs = 1.143975019454956, accuracy = 0.8583333492279053
Model loss after 322 epochs = 1.1451774835586548, accuracy = 0.8666667342185974
Model loss after 323 epochs = 1.139137625694275, accuracy = 0.8583333492279053
Model loss after 324 epochs = 1.1366900205612183, accuracy = 0.8583333492279053
Model loss after 325 epochs = 1.1356679201126099, accuracy = 0.8750000596046448
Model loss after 326 epochs = 1.1384835243225098, accuracy = 0.8583333492279053
Model loss after 327 epochs = 1.1425915956497192, accuracy = 0.8500000238418579
Model loss after 328 epochs = 1.1369658708572388, accuracy = 0.8583333492279053
Model loss after 329 epochs = 1.13358736038208, accuracy = 0.8833333849906921
Model loss after 330 epochs = 1.1333858966827393, accuracy = 0.8750000596046448
Model loss after 331 epochs = 1.1415849924087524, accuracy = 0.8583333492279053
Model loss after 332 epochs = 1.1338456869125366, accuracy = 0.8583333492279053
Model loss after 333 epochs = 1.12937331199646, accuracy = 0.8666667342185974
Model loss after 334 epochs = 1.1282447576522827, accuracy = 0.8583333492279053
Model loss after 335 epochs = 1.129438042640686, accuracy = 0.8500000238418579
Model loss after 336 epochs = 1.130761742591858, accuracy = 0.8666667342185974
Model loss after 337 epochs = 1.1291214227676392, accuracy = 0.8666667342185974
Model loss after 338 epochs = 1.1272084712982178, accuracy = 0.8583333492279053
Model loss after 339 epochs = 1.1246057748794556, accuracy = 0.8750000596046448
Model loss after 340 epochs = 1.1284632682800293, accuracy = 0.8500000238418579
Model loss after 341 epochs = 1.1284480094909668, accuracy = 0.8583333492279053
Model loss after 342 epochs = 1.1273560523986816, accuracy = 0.8500000238418579
Model loss after 343 epochs = 1.1250606775283813, accuracy = 0.8666667342185974
Model loss after 344 epochs = 1.126736044883728, accuracy = 0.8583333492279053
Model loss after 345 epochs = 1.1247972249984741, accuracy = 0.8666667342185974
Model loss after 346 epochs = 1.1228102445602417, accuracy = 0.8666667342185974
Model loss after 347 epochs = 1.12105393409729, accuracy = 0.8583333492279053
Model loss after 348 epochs = 1.1234265565872192, accuracy = 0.8500000238418579
Model loss after 349 epochs = 1.125659704208374, accuracy = 0.8666667342185974
Model loss after 350 epochs = 1.1189595460891724, accuracy = 0.8666667342185974
Model loss after 351 epochs = 1.1157044172286987, accuracy = 0.8833333849906921
Model loss after 352 epochs = 1.1132450103759766, accuracy = 0.8750000596046448
Model loss after 353 epochs = 1.1132723093032837, accuracy = 0.8666667342185974
Model loss after 354 epochs = 1.1110049486160278, accuracy = 0.8750000596046448
Model loss after 355 epochs = 1.112905740737915, accuracy = 0.8666667342185974
Model loss after 356 epochs = 1.1134898662567139, accuracy = 0.8666667342185974
Model loss after 357 epochs = 1.110384464263916, accuracy = 0.8666667342185974
Model loss after 358 epochs = 1.1092287302017212, accuracy = 0.8750000596046448
Model loss after 359 epochs = 1.1087863445281982, accuracy = 0.8750000596046448
Model loss after 360 epochs = 1.1075820922851562, accuracy = 0.8666667342185974
Model loss after 361 epochs = 1.1068211793899536, accuracy = 0.8750000596046448
Model loss after 362 epochs = 1.1068485975265503, accuracy = 0.8750000596046448
Model loss after 363 epochs = 1.106019377708435, accuracy = 0.8750000596046448
Model loss after 364 epochs = 1.1046333312988281, accuracy = 0.8833333849906921
Model loss after 365 epochs = 1.1038525104522705, accuracy = 0.8666667342185974
Model loss after 366 epochs = 1.1133465766906738, accuracy = 0.8583333492279053
Model loss after 367 epochs = 1.104170322418213, accuracy = 0.8750000596046448
Model loss after 368 epochs = 1.1039761304855347, accuracy = 0.8833333849906921
Model loss after 369 epochs = 1.1103498935699463, accuracy = 0.8833333849906921
Model loss after 370 epochs = 1.1111176013946533, accuracy = 0.8666667342185974
Model loss after 371 epochs = 1.105296015739441, accuracy = 0.8666667342185974
Model loss after 372 epochs = 1.10692298412323, accuracy = 0.8750000596046448
Model loss after 373 epochs = 1.1013182401657104, accuracy = 0.8833333849906921
Model loss after 374 epochs = 1.0980275869369507, accuracy = 0.8833333849906921
Model loss after 375 epochs = 1.0996119976043701, accuracy = 0.8916667103767395
Model loss after 376 epochs = 1.100652813911438, accuracy = 0.8916667103767395
